date,project,volume
2023-01-07,biconomy,93266965.28829353
2023-01-08,biconomy,93134477.76458275
2023-01-09,biconomy,90042652.8411797
2023-01-10,biconomy,91391550.74885727
2023-01-11,biconomy,91740431.3349904
2023-01-12,biconomy,90634226.49444628
2023-01-13,biconomy,91785282.6368774
2023-01-14,biconomy,87372052.06431346
2023-01-15,biconomy,96236824.78637455
2023-01-16,biconomy,48314471.39096437
2023-01-17,biconomy,78773801.47103894
2023-01-18,biconomy,82289486.83738588
2023-01-19,biconomy,72168935.8150966
2023-01-20,biconomy,71527314.20925684
2023-01-21,biconomy,74243580.33346093
2023-01-22,biconomy,69572721.55161716
2023-01-23,biconomy,89985206.94425888
2023-01-24,biconomy,88434186.55561253
2023-01-25,biconomy,128725409.18160048
2023-01-26,biconomy,92277031.57829183
2023-01-27,biconomy,82855847.95161185
2023-01-28,biconomy,81383395.37898085
2023-01-29,biconomy,79124149.09087604
2023-01-30,biconomy,68446963.23304376
2023-01-31,biconomy,78018395.13885242
2023-02-01,biconomy,76953897.86102511
2023-02-02,biconomy,78109804.37153274
2023-02-03,biconomy,94180651.79344387
2023-02-04,biconomy,92917689.05925624
2023-02-05,biconomy,94011925.96071485
2023-02-06,biconomy,95615369.29729834
2023-02-07,biconomy,58516605.56726711
2023-02-08,biconomy,78348127.92695263
2023-02-09,biconomy,61036122.48685304
2023-02-10,biconomy,0.0
2023-02-11,biconomy,73476429.90315026
2023-02-12,biconomy,85733352.61598544
2023-02-13,biconomy,118023669.52330652
2023-02-14,biconomy,134483163.51403746
2023-02-15,biconomy,158451186.67806572
2023-02-16,biconomy,184749798.40714413
2023-02-17,biconomy,193306298.2852469
2023-02-18,biconomy,196256390.3492808
2023-02-19,biconomy,124249265.78129429
2023-02-20,biconomy,159566051.29791752
2023-02-21,biconomy,155692811.37710598
2023-02-22,biconomy,178379721.10313484
2023-02-23,biconomy,166601955.25322792
2023-02-24,biconomy,207913925.82427773
2023-02-25,biconomy,250750036.4243025
2023-02-26,biconomy,189277446.12827572
2023-02-27,biconomy,222804945.7143819
2023-02-28,biconomy,287350465.1223873
2023-03-01,biconomy,340349725.3167264
2023-03-02,biconomy,382719168.8458806
2023-03-03,biconomy,406208554.3964881
2023-03-04,biconomy,320456862.9472472
2023-03-05,biconomy,268603209.4499354
2023-03-06,biconomy,265940808.35692853
2023-03-07,biconomy,294326574.8935629
2023-03-08,biconomy,366489492.11065096
2023-03-09,biconomy,343937791.2784935
2023-03-10,biconomy,458495588.0214104
2023-03-11,biconomy,434360688.2597264
2023-03-12,biconomy,322330154.0791505
2023-03-13,biconomy,410604351.5833888
2023-03-14,biconomy,494532655.571038
2023-03-15,biconomy,493255330.013182
2023-03-16,biconomy,754150312.2011994
2023-03-17,biconomy,686846910.0576228
2023-03-18,biconomy,738039187.9593319
2023-03-19,biconomy,491258781.2353232
2023-03-20,biconomy,712573062.9968323
2023-03-21,biconomy,697392987.2108622
2023-03-22,biconomy,608472718.3429291
2023-03-23,biconomy,592592451.5602757
2023-03-24,biconomy,633350645.0889468
2023-03-25,biconomy,568075333.1659356
2023-03-26,biconomy,596226878.7734745
2023-03-27,biconomy,608003151.388499
2023-03-28,biconomy,525169221.2629833
2023-03-29,biconomy,483004391.37833047
2023-03-30,biconomy,507206245.4272049
2023-03-31,biconomy,488648903.2321858
2023-04-01,biconomy,503025497.5296256
2023-04-02,biconomy,482054271.9747428
2023-04-03,biconomy,557317841.4593095
2023-04-04,biconomy,656097596.774138
